ID,Latitude,Longitude,comments
0A,45.055793,-93.752159,
0C,43.207806,-93.780399,
0C_2nd,41.9015197,-90.7588452,
0E,46.8046539,-93.6960743,
0E_2nd,44.544246,-94.414685,
0H,51.050226,-96.833822,
0H_2nd,35.471514,-91.88002,
0L,46.989949,-95.981508,
0L_2nd,45.018178,-94.336019,
0M,41.4623,-83.02197,
0N,41.62445,-83.2282,
0N_2nd,46.242133,-96.047296,
0P,45.815115,-92.648518,
0R,44.008855,-95.271487,
0T,46.933808,-94.995488,
0T_2nd,45.275751,-94.536974,
1A,45.002486,-93.611393,
1C,43.12184,-93.012207,
1E,44.8678,-93.81828,
1H,49.700347,-96.20328,
1L,45.987785,-95.86655,
1M,41.43333,-83.01498,
1N,41.62236,-83.21336,
1P,44.028,-89.296,
1R,43.858343,-95.090119,
1T,47.50938,-95.78446,
2A,47.721362,-94.749709,
2E,46.5360944,-93.3664868,
2H,49.700347,-96.20328,
2H_2nd,46.64434,-93.885301,
2J,45.712552,-84.682521,
2K,46.309654,-86.11812,
2L,47.098069,-95.658605,
2M,41.46111,-83.0289,
2N,41.62871,-83.20747,
2P,44.028,-89.296,
2R,44.54568,-94.410654,
2T,46.153865,-94.418528,
3A,46.96702,-95.66579,
3C,41.796812,-91.928879,
3E,44.882535,-93.686421,
3H,49.599171,-95.875973,
3J,45.008628,-83.885587,
3K,46.294051,-86.136235,
3L,47.445539,-96.399557,
3M,41.43033,-83.00233,
3N,41.62079,-83.2209,
3P,44.028,-89.296,
3R,43.965941,-95.382517,
3T,46.105333,-94.758631,
4A,47.49753,-94.942478,
4C,43.3214114,-92.0700803,
4E,48.48005,-95.858272,
4H,50.602661,-95.44075,
4J,43.7949,-84.27195,
4K,46.291574,-85.953877,
4L,46.90478,-95.683891,
4M,40.555457,-83.194573,
4N,40.70984,-83.36927,
4P,45.846744,-92.626214,
4R,47.548893,-94.361236,
4T,47.27225,-93.75311,
5A,48.482692,-95.933853,
5C,43.2926886,-94.8690244,
5E,48.956299,-96.014582,
5H,50.830895,-95.308611,
5H_2nd,51.050226,-96.82546,
5J,44.401589,-85.739031,
5K,46.356399,-85.574128,
5L,47.694633,-92.471589,
5M,41.440813,-80.897926,
5N,40.72501,-83.31952,
5P,46.14319,-90.09283,
5R,46.766629,-94.367102,
5T,45.399181,-95.191584,
6A,46.54242,-93.344731,
6C,43.2719248,-93.491985,
6C_2nd,41.77764,-94.32537,
6E,46.634439,-92.776876,
6H,49.17177,-95.480271,
6J,42.9482565,-85.1445124,
6K,46.233807,-85.70311,
6L,48.342056,-92.923356,
6L_2nd,46.842248,-93.217903,
6M,41.4604145,-80.836771,
6N,40.71111,-83.29391,
6P,46.103775,-95.734061,
6R,46.824104,-94.152856,
6R_2nd,44.67474,-93.936177,
6T,45.480052,-93.702469,
7A,47.049928,-94.924069,
7C,43.2859292,-93.4644565,
7E,43.933905,-94.861006,
7H,49.653416,-96.225019,
7J,42.3049808,-85.3389189,
7K,44.36273286,-83.46826502,
7L,35.471514,-91.88002,
7M,41.4604145,-80.836771,
7N,40.58738,-83.29928,
7P,45.81625,-92.6461,
7R,47.660391,-94.748534,
7T,45.108924,-96.08885,
8A,44.819793,-93.2286863,
8C,42.9356562,-95.4885453,
8E,46.9190281,-93.5191427,
8E_2nd,45.101268,-94.629201,
8H,50.291275,-95.697579,
8L,35.471514,-91.88002,
8M,41.422667,-80.806029,
8N,41.00855,-81.96515,
8P,45.81625,-92.6461,
8R,47.500505,-94.954397,
8T,47.57929,-94.46577,
9A,45.002535,-93.626971,
9C,43.472908,-95.062969,
9E,46.8419568,-93.2178857,
9H,49.174954,-99.481547,
9H_2nd,46.93839,-93.523546,
9J,42.259404,-85.350384,
9J (swan originally colalred as 5J),44.38976643,-85.74935566,
9L,35.471514,-91.88002,
9M,41.067061,-81.607297,
9N,40.3749276,-83.0363433,
9P,44.34275,-90.15958,
9R,47.025037,-94.537675,
9T,47.37327,-95.31979,Minerva (no data)
